DN,distance
1,0.163698964888
2,0.163097838644
3,0.161970432379
4,0.157814474964
5,0.16014299638
6,0.159338780743
7,0.156913099662
8,0.15345710673
9,0.149764190976
10,0.144625659861
11,0.157180430632
12,0.156444747913
13,0.154437991726
14,0.150985270726
15,0.147529277794
16,0.144073284862
17,0.14061729193
18,0.136791169257
19,0.131436844757
20,0.154217864884
21,0.153524158713
22,0.151895111868
23,0.148513434721
24,0.145057441789
25,0.141601448857
26,0.138145455925
27,0.134689462993
28,0.131233470061
29,0.12777747713
30,0.12381458917
31,0.118248029653
32,0.151255299136
33,0.150600335539
34,0.149271370398
35,0.146041598717
36,0.142585605785
37,0.139129612853
38,0.135673619921
39,0.132217626989
40,0.128761634057
41,0.125305641125
42,0.121849648193
43,0.118393655261
44,0.114937662329
45,0.110858087821
46,0.148292733387
47,0.147671120365
48,0.146577147542
49,0.143569762713
50,0.140113769781
51,0.136657776849
52,0.133201783917
53,0.129745790985
54,0.126289798053
55,0.122833805121
56,0.119377812189
57,0.115921819257
58,0.112465826325
59,0.109009833393
60,0.105553840461
61,0.102097845721
62,0.0978130195403
63,0.145330167639
64,0.144731885848
65,0.143816630718
66,0.141097926708
67,0.137641933776
68,0.134185940844
69,0.130729947912
70,0.12727395498
71,0.123817962049
72,0.120361969117
73,0.116905976185
74,0.113449983253
75,0.109993990321
76,0.106537997389
77,0.103082004457
78,0.0996260115249
79,0.0961700185929
80,0.092714025661
81,0.0892273065534
82,0.0846242044367
83,0.141774199131
84,0.140986917999
85,0.138626090704
86,0.135170097772
87,0.13171410484
88,0.128258111908
89,0.124802118976
90,0.121346126044
91,0.117890133112
92,0.11443414018
93,0.110978147248
94,0.107522154316
95,0.104066161384
96,0.100610168453
97,0.0971541755206
98,0.0936981825886
99,0.0902421896567
100,0.0867861967247
101,0.0833302037928
102,0.0798742108608
103,0.0763086749753
104,0.0714353893331
105,0.138811633383
106,0.138083115159
107,0.136145395848
108,0.132698261768
109,0.129242268836
110,0.125786275904
111,0.122330282972
112,0.11887429004
113,0.115418297108
114,0.111962304176
115,0.108506311244
116,0.105050318312
117,0.10159432538
118,0.0981383324482
119,0.0946823395163
120,0.0912263465843
121,0.0877703536524
122,0.0843143607204
123,0.0808583677885
124,0.0774023748565
125,0.0739463819246
126,0.0704903889926
127,0.0670343960607
128,0.0633571120633
129,0.0582465742295
130,0.135849067635
131,0.13516208454
132,0.133588041912
133,0.130226425763
134,0.126770432831
135,0.123314439899
136,0.119858446968
137,0.116402454036
138,0.112946461104
139,0.109490468172
140,0.10603447524
141,0.102578482308
142,0.0991224893758
143,0.0956664964439
144,0.0922105035119
145,0.08875451058
146,0.085298517648
147,0.0818425247161
148,0.0783865317841
149,0.0749305388522
150,0.0714745459202
151,0.0680185529883
152,0.0645625600563
153,0.0611065671244
154,0.0576505741924
155,0.0541945812605
156,0.0503856487694
157,0.0450577591258
158,0.134419623547
159,0.132847284031
160,0.130993873502
161,0.127754589759
162,0.124298596827
163,0.120842603895
164,0.117386610963
165,0.113930618031
166,0.110474625099
167,0.107018632167
168,0.103562639235
169,0.100106646303
170,0.0966506533715
171,0.0931946604396
172,0.0897386675076
173,0.0862826745757
174,0.0828266816437
175,0.0793706887118
176,0.0759146957798
177,0.0724587028479
178,0.0690027099159
179,0.065546716984
180,0.062090724052
181,0.0586347311201
182,0.0551787381881
183,0.0517227452562
184,0.0482667523242
185,0.0448107593923
186,0.0413547664603
187,0.0374085168383
188,0.0318689440222
189,0.136555951485
190,0.133929221061
191,0.130752336857
192,0.126331823123
193,0.122019921465
194,0.118370767891
195,0.114914774959
196,0.111458782027
197,0.108002789095
198,0.104546796163
199,0.101090803231
200,0.0976348102991
201,0.0941788173672
202,0.0907228244352
203,0.0872668315033
204,0.0838108385713
205,0.0803548456394
206,0.0768988527074
207,0.0734428597755
208,0.0699868668435
209,0.0665308739116
210,0.0630748809796
211,0.0596188880477
212,0.0561628951157
213,0.0527069021838
214,0.0492509092518
215,0.0457949163199
216,0.0423389233879
217,0.038882930456
218,0.035426937524
219,0.0319709445921
220,0.0285149516601
221,0.0244475314472
222,0.0186801289186
223,0.142105786883
224,0.138592704092
225,0.134219801915
226,0.128695385524
227,0.122848011609
228,0.117561752527
229,0.112915443399
230,0.108990958611
231,0.105530953091
232,0.102074960159
233,0.0986189672268
234,0.0951629742948
235,0.0917069813629
236,0.0882509884309
237,0.084794995499
238,0.081339002567
239,0.0778830096351
240,0.0744270167031
241,0.0709710237712
242,0.0675150308392
243,0.0640590379073
244,0.0606030449753
245,0.0571470520434
246,0.0536910591114
247,0.0502350661795
248,0.0467790732475
249,0.0433230803156
250,0.0398670873836
251,0.0364110944517
252,0.0329551015197
253,0.0294991085878
254,0.0260431156558
255,0.0225871227239
256,0.0191311297919
257,0.01567513686
258,0.0114313571268
259,0.146388331239
260,0.141145042162
261,0.134778614687
262,0.127649546329
263,0.120927823014
264,0.114685090922
265,0.109003677831
266,0.103975638886
267,0.0996998755398
268,0.0961471312225
269,0.0926911382905
270,0.0892351453586
271,0.0857791524266
272,0.0823231594947
273,0.0788671665627
274,0.0754111736308
275,0.0719551806988
276,0.0684991877669
277,0.0650431948349
278,0.061587201903
279,0.058131208971
280,0.0546752160391
281,0.0512192231071
282,0.0477632301752
283,0.0443072372432
284,0.0408512443113
285,0.0373952513793
286,0.0339392584474
287,0.0304832655154
288,0.0270272725835
289,0.0235712796515
290,0.0201152867196
291,0.0166592937876
292,0.0132033008557
293,0.00974730792373
294,0.00629131499178
295,0.00281142038094
296,0.0041565762209
297,0.156890704643
298,0.151090078498
299,0.144092939658
300,0.136004335959
301,0.128165171168
302,0.120645939847
303,0.113510239637
304,0.106834948418
305,0.100711657242
306,0.0952468876413
307,0.090559932124
308,0.0867633093543
309,0.0833073164223
310,0.0798513234904
311,0.0763953305584
312,0.0729393376265
313,0.0694833446945
314,0.0660273517626
315,0.0625713588306
316,0.0591153658987
317,0.0556593729667
318,0.0522033800348
319,0.0487473871028
320,0.0452913941709
321,0.0418354012389
322,0.038379408307
323,0.034923415375
324,0.0314674224431
325,0.0280114295111
326,0.0245554365792
327,0.0210994436472
328,0.0176434507153
329,0.0141874577833
330,0.0107314648514
331,0.00727547191941
332,0.00381947898746
333,0.000363486055512
334,0.00309250687644
335,0.00654849980839
336,0.0106036429017
337,0.0174801412996
338,0.169609778526
339,0.163519943678
340,0.155993573825
341,0.147309036116
342,0.138668972097
343,0.130223713368
344,0.122013717361
345,0.114089784491
346,0.106515776419
347,0.0993717380702
348,0.0927570699625
349,0.0867928898527
350,0.081621917583
351,0.0774032888893
352,0.0739234945541
353,0.0704675016221
354,0.0670115086902
355,0.0635555157582
356,0.0600995228263
357,0.0566435298943
358,0.0531875369624
359,0.0497315440304
360,0.0462755510985
361,0.0428195581665
362,0.0393635652346
363,0.0359075723026
364,0.0324515793707
365,0.0289955864387
366,0.0255395935068
367,0.0220836005748
368,0.0186276076429
369,0.0151716147109
370,0.011715621779
371,0.00825962884704
372,0.0048036359151
373,0.00134764298315
374,0.0021083499488
375,0.00556434288076
376,0.0090203358127
377,0.0124763287447
378,0.0159323216766
379,0.0193883146086
380,0.0247040770523
381,0.0315898543575
382,0.184086650326
383,0.177891997102
384,0.169943131658
385,0.160943234847
386,0.151762500454
387,0.142691934758
388,0.133753953011
389,0.124977004473
390,0.116397522946
391,0.108062551556
392,0.100033228228
393,0.0923892767085
394,0.0852344422852
395,0.0787022353724
396,0.0729600819186
397,0.0682078093367
398,0.0645396726859
399,0.0610836797539
400,0.057627686822
401,0.05417169389
402,0.0507157009581
403,0.0472597080261
404,0.0438037150942
405,0.0403477221622
406,0.0368917292303
407,0.0334357362983
408,0.0299797433664
409,0.0265237504344
410,0.0230677575025
411,0.0196117645705
412,0.0161557716386
413,0.0126997787066
414,0.00924378577468
415,0.00578779284273
416,0.00233179991078
417,0.00112419302117
418,0.00458018595312
419,0.00803617888507
420,0.011492171817
421,0.014948164749
422,0.0184041576809
423,0.0218601506129
424,0.0253161435448
425,0.0287721364768
426,0.0327666311619
427,0.0388170279187
428,0.0457642633646
429,0.193730680539
430,0.185495760275
431,0.176367507112
432,0.166837133954
433,0.157365056371
434,0.14796247047
435,0.138643515422
436,0.129426257265
437,0.120334067373
438,0.111397573903
439,0.102657445772
440,0.0941683751235
441,0.086004735767
442,0.0782684245101
443,0.0710990715569
444,0.0646854672797
445,0.0592734458096
446,0.0551558508177
447,0.0516998578857
448,0.0482438649538
449,0.0447878720218
450,0.0413318790899
451,0.0378758861579
452,0.034419893226
453,0.030963900294
454,0.0275079073621
455,0.0240519144301
456,0.0205959214982
457,0.0171399285662
458,0.0136839356343
459,0.0102279427023
460,0.00677194977035
461,0.0033159568384
462,0.000140036093548
463,0.0035960290255
464,0.00705202195745
465,0.0105080148894
466,0.0139640078213
467,0.0174200007533
468,0.0208759936852
469,0.0243319866172
